2048 1024
436 694 728
123 605 813
381 587 998
674 765 931
121 460 876
60 536 972
77 79 747
92 173 186
195 881 906
231 566 794
18 428 448
99 390 823
221 287 695
173 579 831
113 808 990
13 424 688
370 405 448
374 446 895
7 223 723
32 202 858
253 486 491
125 218 827
115 153 391
298 641 892
185 495 540
227 784 885
144 334 628
315 930 988
57 221 449
569 620 863
167 287 720
396 416 947
112 327 905
548 704 952
406 456 594
92 295 794
216 763 786
760 829 851
157 791 879
82 396 650
34 137 834
37 553 968
325 558 890
139 348 475
530 887 1003
135 600 663
289 693 849
536 860 870
224 443 983
401 692 839
120 659 924
170 570 724
128 290 409
855 893 980
69 559 929
180 253 987
609 641 670
174 428 606
707 724 787
51 196 358
731 755 977
360 839 929
183 277 562
216 441 582
42 200 387
110 723 981
776 862 924
597 600 978
117 561 903
469 642 944
416 525 758
310 504 526
250 273 300
166 956 980
24 260 333
498 645 861
129 194 371
282 452 494
57 979 991
603 709 722
126 706 909
102 552 639
725 790 998
354 980 1000
236 302 625
56 326 528
2 63 696
84 466 545
11 636 649
51 276 716
17 697 803
14 343 746
626 744 1003
74 167 613
583 874 953
311 352 555
12 490 779
211 666 688
241 509 636
143 332 756
94 442 992
482 608 848
774 842 872
110 228 843
35 774 959
406 768 926
238 432 788
104 361 555
338 510 660
93 242 737
127 197 740
280 320 494
47 196 625
201 433 815
444 530 825
34 757 949
465 643 917
216 629 1022
543 630 779
140 649 651
223 552 812
591 787 1023
359 715 841
70 308 484
402 909 1021
345 586 795
75 278 668
125 750 848
29 590 969
73 201 517
62 317 1011
607 717 973
24 435 785
480 859 904
189 682 1021
114 171 856
208 436 486
209 576 612
64 281 894
16 50 300
413 699 782
48 433 581
310 388 558
447 481 960
365 568 740
79 348 841
719 783 786
10 428 1014
212 235 469
11 622 993
114 159 489
494 772 826
146 679 802
215 483 913
468 931 978
507 626 879
284 399 410
153 210 936
850 916 954
453 637 1011
71 299 989
221 408 491
258 690 940
315 780 920
443 657 905
256 491 988
224 951 979
173 212 342
494 529 673
97 593 594
198 350 1012
421 449 709
200 660 1015
239 258 598
183 230 778
354 419 423
107 490 814
36 419 929
9 547 558
356 389 554
346 440 997
275 630 1006
437 461 540
124 381 476
489 796 936
402 766 916
154 498 707
567 835 847
2 164 231
512 867 935
495 725 787
369 834 840
84 533 993
650 720 835
276 499 518
20 957 967
198 865 928
246 701 876
517 541 793
171 259 556
335 927 944
688 866 917
442 528 673
139 575 692
153 258 983
236 649 930
465 623 636
651 919 965
420 491 627
50 62 682
127 423 819
224 835 855
313 794 900
466 478 917
43 263 844
437 444 655
87 110 396
169 825 901
235 507 649
153 417 685
303 316 974
187 573 687
497 610 786
347 440 590
134 424 652
339 445 452
283 831 887
43 225 874
433 961 989
5 481 514
249 706 911
16 49 233
53 496 942
702 811 896
113 243 306
121 217 426
39 487 786
203 248 266
355 734 1007
450 678 741
122 184 740
351 592 1018
85 245 978
62 632 840
107 249 883
498 652 986
355 373 439
17 407 916
598 717 1019
19 417 937
238 336 714
908 917 978
103 280 1021
27 87 116
551 583 975
631 698 783
164 599 779
294 363 819
244 523 685
93 668 771
23 685 774
405 492 518
213 678 913
95 660 951
559 730 1017
143 324 491
316 648 887
71 246 378
51 250 838
406 413 525
38 904 975
344 752 822
322 611 935
307 467 960
255 343 820
137 862 1001
78 462 831
31 213 462
615 656 904
190 558 923
177 289 952
60 365 883
23 456 727
247 308 584
98 226 283
743 775 980
282 759 861
137 502 971
176 589 698
180 595 856
335 337 481
547 816 919
328 376 435
504 789 890
271 810 848
151 212 1003
126 168 497
122 363 678
546 779 832
270 506 535
441 860 924
170 477 647
417 505 1013
414 808 946
461 746 795
241 341 413
108 812 1002
320 660 885
56 742 756
189 668 793
224 396 794
383 430 553
464 753 826
136 155 958
320 521 781
433 780 836
145 421 725
46 387 578
85 162 588
367 497 1004
685 686 854
60 174 272
776 850 1018
37 242 585
7 752 972
262 403 915
47 300 812
424 569 801
301 401 852
118 164 762
67 664 907
761 817 829
493 619 816
361 737 810
181 387 726
61 507 528
25 190 1001
246 727 1008
660 771 985
99 337 520
190 615 683
55 73 873
54 202 374
195 416 662
105 404 774
206 830 938
434 468 540
33 592 883
188 211 307
78 140 446
556 807 870
430 530 800
602 743 808
104 286 691
241 544 700
805 960 1001
415 492 550
161 351 867
133 344 489
156 279 986
524 680 884
754 796 953
603 645 942
422 827 855
359 711 918
115 542 795
284 351 992
90 775 948
212 299 585
571 918 921
151 602 955
164 425 1017
458 593 860
98 547 940
166 776 990
246 508 911
405 581 739
49 443 557
247 880 941
280 400 961
2 588 649
34 436 777
91 500 900
594 627 729
78 160 355
363 432 846
245 617 626
225 587 597
274 478 803
148 733 874
118 240 696
598 750 1007
337 759 903
60 209 857
598 677 773
29 66 896
133 296 356
299 496 664
485 598 716
145 276 673
59 503 823
754 824 953
3 87 553
369 389 605
64 361 662
133 257 571
279 716 731
390 556 704
277 363 746
281 360 445
147 738 810
40 188 845
37 384 399
1 651 693
119 471 852
66 726 870
414 850 1013
381 680 919
10 764 1020
39 244 409
69 280 1014
141 213 557
135 277 715
237 613 676
125 421 643
234 365 713
363 471 537
192 211 456
199 706 805
26 206 319
109 951 1012
596 942 974
130 583 871
105 898 907
320 378 550
26 429 475
301 422 766
455 688 854
13 566 969
266 301 965
328 457 1014
327 513 738
138 510 568
268 614 674
349 444 1010
255 391 556
272 360 641
267 290 539
388 580 629
205 267 304
374 914 1006
193 376 809
46 277 823
285 523 609
26 296 626
700 871 899
246 343 835
58 303 960
194 335 871
321 768 964
834 912 970
303 690 751
92 394 1017
271 563 571
140 358 968
68 146 711
248 290 523
133 721 804
117 872 884
219 326 933
280 291 714
391 647 737
116 250 707
544 614 788
747 952 1012
402 902 1009
64 151 531
239 353 469
3 653 986
386 573 698
475 550 930
254 631 934
93 111 383
411 517 670
543 561 620
403 924 1021
226 898 954
6 435 575
24 343 1018
354 356 900
90 178 525
49 184 281
294 651 656
253 531 684
125 650 932
275 366 981
103 339 391
484 656 972
169 199 346
293 510 888
527 559 630
116 417 487
6 256 581
414 432 619
545 916 943
101 882 1020
217 783 918
227 462 937
131 515 676
279 529 566
109 748 819
9 59 855
441 781 804
79 746 763
472 717 969
354 712 863
570 580 658
146 674 759
795 864 874
227 389 767
284 518 683
382 437 1019
16 696 776
522 683 733
155 250 543
288 616 641
624 941 943
241 533 1007
462 505 813
75 227 656
544 683 949
68 700 951
116 377 1018
56 813 842
140 665 803
336 635 762
348 394 620
622 707 949
227 565 822
99 331 604
496 774 857
415 808 809
301 513 663
19 71 520
138 214 515
98 274 744
23 219 1010
447 812 870
289 389 506
130 826 875
368 429 872
457 479 619
328 614 718
357 895 940
58 470 986
759 851 973
66 574 933
80 126 822
6 44 267
226 285 826
679 849 958
263 577 731
94 473 485
322 423 659
540 632 974
323 667 727
198 520 543
