4096 2048
212 363 531
894 923 1289
453 739 1241
185 458 1019
41 465 1646
703 854 1068
510 1005 1773
446 598 1556
177 976 1419
58 903 1730
57 1470 1794
789 968 1229
404 742 764
52 109 174
924 1159 1174
111 1402 1567
952 1156 1936
1883 1896 1946
890 1352 1650
170 1075 1310
100 205 1791
836 897 1423
53 1292 1622
521 1329 1766
65 697 1422
379 645 1086
817 1145 1256
90 588 1252
1441 1568 1573
743 862 1667
1283 1537 1744
577 1453 1678
793 1233 1719
735 1339 1718
366 1163 1274
98 579 840
546 1190 1985
347 438 1969
409 969 1747
1184 1266 2045
551 809 930
720 1207 1395
278 1816 1872
142 1617 1626
313 612 1852
18 637 1344
368 460 1118
230 369 814
1282 1347 1405
132 529 1079
547 664 915
516 1693 1797
862 1434 1907
1128 1505 1850
506 691 778
160 311 1011
900 1263 1367
10 217 448
214 1278 1603
33 1814 1896
147 856 1803
35 1112 1322
697 921 1746
768 1269 1955
1257 1601 1849
337 1549 1887
110 236 650
770 940 1523
262 589 1822
1033 1597 1889
15 1580 1695
288 405 696
580 1643 1811
44 202 1114
95 1291 1482
116 498 760
111 308 969
509 1383 1517
1239 1428 1613
165 219 1807
840 917 1738
1377 1578 1967
497 1426 1520
143 1083 1150
180 987 1436
200 1417 1510
411 1488 1702
810 1107 1438
88 1243 1366
340 715 1448
123 1388 1989
69 232 850
838 1543 1938
855 1779 1997
366 406 442
1433 1612 1988
665 1020 1091
740 1262 1621
570 1655 1893
836 942 1415
1648 1669 1911
1567 1617 1835
428 485 668
196 249 379
1249 1469 1783
1478 1901 1979
389 578 1994
75 515 1804
216 1228 1667
85 1164 1708
1871 1883 1895
434 956 1872
146 458 521
1456 1780 1978
665 864 1001
883 1046 1118
162 660 1963
1036 1721 1948
360 708 1803
161 326 414
366 472 1364
331 398 792
1780 1805 1961
1039 1392 1419
683 1670 1700
103 1661 1784
1504 1732 1973
754 1215 1288
478 863 1164
465 1014 1191
303 852 1401
1462 1594 1850
611 1052 1853
71 231 552
237 788 1925
262 562 1721
492 709 942
886 1347 1980
486 738 1407
1156 1837 1921
893 1161 1592
235 911 1915
244 577 1501
225 1534 1847
27 454 1297
59 847 1355
659 783 804
640 1276 1749
597 777 1144
152 335 1108
1117 1405 1751
390 638 1547
1346 1408 2008
222 666 1949
295 1586 1946
1140 1266 1615
1043 1492 1869
403 1222 1786
1582 1825 2001
395 511 677
149 647 1912
1224 1579 1950
120 1203 1866
241 649 1544
582 730 1187
68 278 1806
334 1530 1724
64 714 1158
659 994 1160
778 1569 1892
1407 1591 1860
343 345 1282
55 1087 1578
298 1065 1468
282 347 992
444 1457 1941
390 679 905
206 863 1448
77 128 371
728 1535 1653
610 1011 1790
475 723 1576
687 909 1462
231 371 1908
492 534 1523
370 1253 1717
364 1543 1835
44 1361 1667
1649 1933 1986
296 678 2043
452 955 1296
117 953 1261
722 1227 1276
385 630 1313
746 928 1095
1094 1455 1937
371 1513 1856
247 1101 1993
226 1446 1724
304 747 1605
938 1378 1803
123 276 590
411 1449 1472
780 1445 1846
1129 1253 1562
188 1036 1075
1161 1402 1656
1267 1339 1348
124 951 1649
1318 1475 2023
577 663 1466
1507 1658 1817
556 1614 1876
22 267 1978
758 1233 2034
269 820 1761
594 1448 1670
512 541 1929
1567 1766 1921
460 972 1029
841 1107 1790
479 1103 1554
151 441 1044
464 808 1026
1258 1616 1930
589 1388 1787
969 990 1634
10 419 547
694 818 1209
535 700 1336
286 1451 1697
1221 1239 1722
577 1211 1902
917 1442 1587
