1024 512
44 367 437
32 39 156
50 188 375
79 296 429
72 223 280
66 169 449
133 160 197
114 395 421
360 436 483
274 377 414
75 161 319
274 341 453
213 261 447
122 123 291
78 419 483
25 113 503
114 412 475
5 248 339
99 135 488
144 233 361
140 155 317
241 376 396
354 415 487
18 113 486
105 281 404
136 342 358
22 422 472
194 201 255
28 351 365
145 191 476
57 463 500
38 78 189
8 98 148
36 59 505
86 299 316
87 123 322
9 168 297
328 423 463
447 496 508
34 219 318
141 443 486
104 388 469
265 396 503
189 306 315
108 156 315
97 107 257
274 411 501
65 467 486
126 371 445
201 317 505
16 140 339
0 377 508
64 333 337
21 129 313
278 381 399
63 118 363
8 167 434
176 321 438
81 265 433
61 209 330
211 214 265
117 151 407
32 448 489
51 148 321
24 434 484
21 400 483
44 88 242
124 419 468
78 129 269
250 323 371
29 100 418
168 187 432
278 283 373
12 32 152
70 224 410
40 91 386
136 279 290
234 455 458
75 273 287
1 28 374
35 351 490
214 304 419
98 196 379
115 127 308
152 409 439
57 85 126
67 122 353
222 358 482
73 112 127
154 477 482
258 301 496
77 205 289
77 348 467
377 472 495
75 229 271
123 139 398
120 342 380
207 439 466
42 189 449
105 347 366
17 450 500
0 102 203
84 321 431
52 505 507
138 373 380
45 366 418
183 218 273
48 190 390
126 181 340
187 378 399
37 196 254
8 144 210
91 277 464
165 222 307
70 299 354
64 130 178
282 446 488
207 285 301
147 225 227
239 487 499
188 281 444
236 255 369
46 370 473
5 248 507
37 228 444
109 305 393
124 203 466
215 322 408
136 335 413
30 152 366
51 90 316
244 408 482
79 154 271
260 462 509
85 147 407
62 91 135
61 102 172
208 478 508
176 268 341
199 237 457
48 135 372
82 224 381
133 338 406
6 8 134
80 163 311
133 182 284
43 74 462
4 8 495
16 24 63
139 145 215
1 112 508
49 359 474
213 384 434
23 277 318
118 430 440
12 383 504
46 344 433
85 277 320
175 284 290
92 150 208
266 366 400
314 403 456
130 333 468
109 205 441
69 183 187
69 200 265
128 297 498
81 242 365
324 361 435
381 444 483
191 353 370
176 294 474
86 121 454
81 305 373
40 204 282
107 283 511
30 367 390
54 172 384
280 318 327
17 423 498
148 348 440
160 257 375
70 217 507
177 265 502
83 281 471
197 295 502
196 252 438
13 30 166
155 289 307
59 417 447
40 117 422
195 229 293
31 108 300
158 304 362
272 358 431
100 184 428
107 222 245
134 142 470
2 69 483
31 431 459
310 362 482
235 259 262
125 157 266
66 142 451
